year,state,POVERTY STATUS IN THE PAST 12 MONTHS Estimate Percent below poverty level Population for whom poverty status is determined
2019,al,15.5
2019,ak,10.1
2019,az,13.5
2019,ar,16.2
2019,ca,11.8
2019,co,9.3
2019,ct,10.0
2019,de,11.3
2019,fl,12.7
2019,ga,13.3
2019,hi,9.3
2019,id,11.2
2019,il,11.5
2019,in,11.9
2019,ia,11.2
2019,ks,11.4
2019,ky,16.3
2019,la,19.0
2019,me,10.9
2019,md,9.0
2019,ma,9.4
2019,mi,13.0
2019,mn,9.0
2019,ms,19.6
2019,mo,12.9
2019,mt,12.6
2019,ne,9.9
2019,nv,12.5
2019,nh,7.3
2019,nj,9.2
2019,nm,18.2
2019,ny,13.0
2019,nc,13.6
2019,nd,10.6
2019,oh,13.1
2019,ok,15.2
2019,or,11.4
2019,pa,12.0
2019,ri,10.8
2019,sc,13.8
2019,sd,11.9
2019,tn,13.9
2019,tx,13.6
2019,ut,8.9
2019,vt,10.2
2019,va,9.9
2019,wa,9.8
2019,wv,16.0
2019,wi,10.4
2019,wy,10.1
