year,SEX BY AGE Estimate Total:,SEX BY AGE Estimate Total: Female:,SEX BY AGE Estimate Total: Female: 10 to 14 years,SEX BY AGE Estimate Total: Female: 15 to 17 years,SEX BY AGE Estimate Total: Female: 18 and 19 years,SEX BY AGE Estimate Total: Female: 20 years,SEX BY AGE Estimate Total: Female: 21 years,SEX BY AGE Estimate Total: Female: 22 to 24 years,SEX BY AGE Estimate Total: Female: 25 to 29 years,SEX BY AGE Estimate Total: Female: 30 to 34 years,SEX BY AGE Estimate Total: Female: 35 to 39 years,SEX BY AGE Estimate Total: Female: 40 to 44 years,SEX BY AGE Estimate Total: Female: 45 to 49 years,SEX BY AGE Estimate Total: Female: 5 to 9 years,SEX BY AGE Estimate Total: Female: 50 to 54 years,SEX BY AGE Estimate Total: Female: 55 to 59 years,SEX BY AGE Estimate Total: Female: 60 and 61 years,SEX BY AGE Estimate Total: Female: 62 to 64 years,SEX BY AGE Estimate Total: Female: 65 and 66 years,SEX BY AGE Estimate Total: Female: 67 to 69 years,SEX BY AGE Estimate Total: Female: 70 to 74 years,SEX BY AGE Estimate Total: Female: 75 to 79 years,SEX BY AGE Estimate Total: Female: 80 to 84 years,SEX BY AGE Estimate Total: Female: 85 years and over,SEX BY AGE Estimate Total: Female: Under 5 years,SEX BY AGE Estimate Total: Male:,SEX BY AGE Estimate Total: Male: 10 to 14 years,SEX BY AGE Estimate Total: Male: 15 to 17 years,SEX BY AGE Estimate Total: Male: 18 and 19 years,SEX BY AGE Estimate Total: Male: 20 years,SEX BY AGE Estimate Total: Male: 21 years,SEX BY AGE Estimate Total: Male: 22 to 24 years,SEX BY AGE Estimate Total: Male: 25 to 29 years,SEX BY AGE Estimate Total: Male: 30 to 34 years,SEX BY AGE Estimate Total: Male: 35 to 39 years,SEX BY AGE Estimate Total: Male: 40 to 44 years,SEX BY AGE Estimate Total: Male: 45 to 49 years,SEX BY AGE Estimate Total: Male: 5 to 9 years,SEX BY AGE Estimate Total: Male: 50 to 54 years,SEX BY AGE Estimate Total: Male: 55 to 59 years,SEX BY AGE Estimate Total: Male: 60 and 61 years,SEX BY AGE Estimate Total: Male: 62 to 64 years,SEX BY AGE Estimate Total: Male: 65 and 66 years,SEX BY AGE Estimate Total: Male: 67 to 69 years,SEX BY AGE Estimate Total: Male: 70 to 74 years,SEX BY AGE Estimate Total: Male: 75 to 79 years,SEX BY AGE Estimate Total: Male: 80 to 84 years,SEX BY AGE Estimate Total: Male: 85 years and over,SEX BY AGE Estimate Total: Male: Under 5 years,City
2011,45045,19772,913,740,394,200,119,502,895,973,924,1194,1333,671,1355,1630,809,887,526,768,1045,1094,918,1078,804,25273,678,534,293,112,385,587,926,1119,1520,1674,2553,706,2495,2399,1008,1435,666,1192,1468,1140,777,674,932,"Palm Springs, CA"
2012,45115,19731,895,619,396,156,147,457,822,1050,1046,1089,1279,758,1440,1495,797,1021,548,851,1017,1026,898,1142,782,25384,579,550,352,114,294,534,900,1270,1384,1713,2531,760,2499,2423,1081,1474,702,1198,1575,1108,792,694,857,"Palm Springs, CA"
2013,45317,19855,1056,584,456,156,167,487,855,1038,732,1158,1270,744,1400,1408,717,1100,577,883,1038,1141,780,1264,844,25462,567,608,367,120,237,617,996,1364,1279,1494,2388,935,2587,2381,1037,1461,760,1109,1671,1151,804,633,896,"Palm Springs, CA"
2014,45827,20050,855,548,509,183,207,526,893,892,747,1233,1256,704,1438,1502,611,1212,679,986,1183,1130,761,1224,771,25777,505,618,473,163,241,571,1051,1335,1339,1451,2273,868,2622,2507,1165,1398,824,1177,1748,1213,836,686,713,"Palm Springs, CA"
2015,46305,19984,949,500,402,116,220,491,798,981,830,1283,1113,699,1463,1452,566,1327,663,1010,1316,1117,716,1184,788,26321,782,598,419,219,225,525,1022,1499,1206,1454,2141,892,2655,2586,1145,1431,826,1334,1734,1271,954,654,749,"Palm Springs, CA"
2016,46714,20043,860,424,371,150,307,486,777,1000,731,1108,1106,716,1475,1463,518,1346,649,1132,1495,1090,792,1181,866,26671,716,667,331,229,134,498,1122,1451,1038,1430,2080,932,2673,2639,1025,1534,992,1466,1842,1299,1092,705,776,"Palm Springs, CA"
2017,47140,20231,834,427,386,141,327,475,768,922,761,1247,1198,658,1410,1577,505,1316,652,1111,1641,1108,785,1177,805,26909,790,724,356,270,115,578,1084,1274,1194,1447,1876,875,2671,2654,1016,1496,1105,1396,1913,1432,1131,701,811,"Palm Springs, CA"
2018,47525,19936,729,335,386,168,354,508,733,858,836,1250,1084,611,1328,1587,497,1456,636,1141,1750,1096,860,1012,721,27589,938,749,322,240,120,512,1150,1046,1164,1419,1861,850,2746,2639,976,1624,1161,1590,2081,1446,1188,829,938,"Palm Springs, CA"
2019,47897,19693,764,333,342,178,311,519,971,850,857,1078,1072,628,1299,1575,518,1314,530,1145,1804,1172,834,1022,577,28204,989,646,281,240,108,569,1111,968,974,1328,1822,867,2918,3003,1083,1625,1241,1589,2279,1576,1160,811,1016,"Palm Springs, CA"
2011,17022,8493,307,101,206,72,83,104,132,167,429,215,392,230,654,919,269,307,458,645,777,692,625,599,110,8529,267,68,179,64,0,25,302,182,213,421,484,250,612,869,274,453,433,489,902,790,494,665,93,"Rancho Mirage, CA"
