Year,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,State Total
1991,1284782.0,1107.0,31049.0,185393.0,33480.0,16497.0,814985.0,25488.0,130181.0,682755.0,25073.0,120404.0,112628.0,18250.0,559776.0,103838.0,52002.0,27955.0,8908269.0,91856.0,231492.0,14722.0,81213.0,182804.0,9730.0,10162.0,361230.0,111747.0,80549.0,2435408.0,179242.0,19973.0,1221257.0,1063417.0,37408.0,1464203.0,2529756.0,724593.0,487943.0,219320.0,651093.0,371903.0,1501771.0,230309.0,150857.0,3322.0,43841.0,349396.0,394070.0,380858.0,66159.0,50730.0,13059.0,318460.0,49562.0,673051.0,143825.0,59352.0,30143555.0
1992,1302709.0,1126.0,31908.0,189133.0,35216.0,16838.0,832229.0,26915.0,134898.0,705720.0,25537.0,122410.0,118976.0,18292.0,581031.0,107264.0,53753.0,28319.0,9007999.0,97514.0,234380.0,15321.0,82113.0,188277.0,9857.0,10372.0,368998.0,113457.0,82802.0,2485231.0,187203.0,20464.0,1275484.0,1088352.0,38880.0,1516475.0,2572449.0,728487.0,498616.0,221953.0,657980.0,376685.0,1519153.0,232591.0,155126.0,3345.0,44145.0,359175.0,402835.0,392727.0,68597.0,52184.0,13173.0,327996.0,50756.0,681632.0,147212.0,60728.0,30722998.0
1993,1318127.0,1131.0,32535.0,191758.0,36332.0,17151.0,848587.0,27427.0,138788.0,723413.0,25836.0,124028.0,126463.0,18311.0,596025.0,110082.0,54969.0,28580.0,9072159.0,102305.0,236340.0,15840.0,82691.0,192539.0,9958.0,10767.0,372530.0,115079.0,84185.0,2531053.0,194001.0,20839.0,1312341.0,1103844.0,40444.0,1546550.0,2594111.0,736629.0,505801.0,224525.0,664394.0,378473.0,1542054.0,235076.0,157278.0,3423.0,44487.0,364627.0,410785.0,401589.0,70578.0,52988.0,13305.0,335435.0,51651.0,690042.0,149033.0,61494.0,31150786.0
1994,1327526.0,1125.0,33044.0,194067.0,37170.0,17437.0,860963.0,27707.0,141843.0,735807.0,25921.0,124568.0,131840.0,18410.0,606886.0,112623.0,55776.0,28719.0,9095157.0,106261.0,237352.0,16189.0,83182.0,196610.0,10010.0,11235.0,366353.0,116039.0,85329.0,2563058.0,199993.0,20862.0,1340214.0,1113761.0,41651.0,1562188.0,2604440.0,742795.0,511050.0,227036.0,668711.0,379723.0,1558454.0,237408.0,158558.0,3489.0,44888.0,368030.0,416791.0,408275.0,72202.0,53516.0,13446.0,341476.0,52402.0,697180.0,150388.0,61806.0,31418940.0
1995,1333031.0,1145.0,33293.0,196394.0,37979.0,17694.0,869176.0,27843.0,143863.0,748424.0,26161.0,124721.0,134848.0,18427.0,615564.0,114825.0,56350.0,28792.0,9103896.0,108817.0,238053.0,16384.0,83554.0,198740.0,10014.0,11416.0,360146.0,116817.0,86426.0,2590109.0,207159.0,20817.0,1365456.0,1118579.0,43310.0,1574240.0,2613112.0,741615.0,517926.0,229160.0,673274.0,382374.0,1568225.0,239889.0,159389.0,3527.0,45020.0,368227.0,421676.0,413017.0,73548.0,54199.0,13507.0,347539.0,52402.0,702830.0,152924.0,61927.0,31617770.0
1996,1340509.0,1192.0,33603.0,197611.0,38480.0,17990.0,878070.0,27823.0,145949.0,761143.0,26370.0,125161.0,137153.0,18386.0,622389.0,116031.0,56638.0,30588.0,9104719.0,111663.0,238149.0,16512.0,84022.0,198572.0,9954.0,11547.0,360554.0,117739.0,87593.0,2625277.0,215019.0,20775.0,1391844.0,1127700.0,45186.0,1591186.0,2621129.0,741971.0,525367.0,231876.0,677926.0,384301.0,1586378.0,242299.0,159889.0,3582.0,44781.0,368121.0,427005.0,417488.0,74573.0,54608.0,13454.0,351910.0,52406.0,707772.0,155710.0,61756.0,31837399.0
1997,1361330.0,1225.0,34149.0,198696.0,39264.0,18304.0,892630.0,28214.0,148373.0,770597.0,26404.0,125847.0,138581.0,18434.0,630818.0,117059.0,56837.0,33159.0,9147051.0,115349.0,239616.0,16647.0,84807.0,200064.0,9978.0,11786.0,369997.0,119130.0,88741.0,2672796.0,222286.0,20865.0,1420573.0,1141918.0,47243.0,1613959.0,2653447.0,746762.0,532567.0,235693.0,685153.0,387698.0,1612739.0,245175.0,160627.0,3602.0,44726.0,371380.0,434133.0,423184.0,75699.0,54923.0,13348.0,355119.0,52961.0,716062.0,158311.0,61833.0,32207869.0
1998,1389000.0,1215.0,34295.0,200017.0,39804.0,18459.0,910831.0,28309.0,150857.0,777563.0,26393.0,125908.0,139129.0,18436.0,638250.0,120661.0,56989.0,33774.0,9225813.0,118133.0,241975.0,16799.0,85276.0,203174.0,9836.0,11991.0,382885.0,120545.0,89830.0,2724525.0,229686.0,20918.0,1451371.0,1157440.0,49334.0,1638423.0,2702805.0,753810.0,540109.0,239147.0,693089.0,391283.0,1638277.0,248422.0,161571.0,3617.0,44675.0,377121.0,442025.0,429054.0,76657.0,55285.0,13235.0,358668.0,53641.0,725390.0,160733.0,61419.0,32657877.0
1999,1412315.0,1182.0,34433.0,201022.0,39983.0,18526.0,928482.0,27742.0,153232.0,785020.0,26315.0,125928.0,140026.0,18285.0,647021.0,125424.0,57275.0,33586.0,9330171.0,120305.0,243767.0,16913.0,85515.0,205892.0,9540.0,12354.0,390540.0,121913.0,90587.0,2776163.0,238293.0,20794.0,1490474.0,1185132.0,51191.0,1667189.0,2751011.0,762359.0,549218.0,242083.0,698333.0,393498.0,1658055.0,251571.0,162048.0,3593.0,44352.0,384322.0,449455.0,436130.0,77463.0,55459.0,13129.0,362168.0,54037.0,735960.0,163491.0,60506.0,33140771.0
2000,1437136.0,1196.0,34990.0,202658.0,40465.0,18734.0,944953.0,27509.0,155702.0,796187.0,26405.0,126476.0,141848.0,18101.0,658902.0,128787.0,58084.0,33770.0,9477651.0,122629.0,246503.0,17068.0,86110.0,209522.0,9445.0,12770.0,399392.0,123782.0,91642.0,2831799.0,246712.0,20801.0,1535125.0,1217219.0,52884.0,1701374.0,2801336.0,773312.0,560634.0,245696.0,705052.0,397877.0,1676920.0,254815.0,162889.0,3553.0,44281.0,392833.0,456899.0,444967.0,78631.0,55875.0,13031.0,366766.0,54374.0,749740.0,167551.0,60220.0,33721583.0
