DATE,City,"Agriculture, Forestry, Fishing and Hunting",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,Administrative and Support and Waste Management and Remediation Services,Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (except Public Administration),Federal Government,Local Government,State Government,Not Elsewhere Classified,"Mining, Quarrying, and Oil and Gas Extraction"
5-Jan,Cathedral City,NA,NA,971,79,106,1941,39,137,142,215,106,NA,447,21,530,217,967,543,NA,940,NA,NA,NA
5-Feb,Cathedral City,NA,NA,981,68,108,1956,39,143,148,217,106,NA,431,14,517,224,990,547,NA,941,NA,NA,NA
5-Mar,Cathedral City,NA,NA,1032,78,111,1947,41,142,142,219,99,NA,434,21,513,236,1000,561,NA,953,NA,NA,NA
5-Apr,Cathedral City,NA,NA,988,86,154,1936,41,140,100,217,95,NA,364,20,523,234,1023,546,NA,906,NA,NA,NA
5-May,Cathedral City,NA,NA,1028,88,154,1953,39,135,93,218,80,NA,349,17,529,245,1022,552,NA,910,NA,NA,NA
5-Jun,Cathedral City,NA,NA,1048,91,156,1984,39,138,105,216,82,NA,327,14,516,236,1020,513,NA,931,NA,NA,NA
5-Jul,Cathedral City,NA,NA,1018,84,135,1963,39,144,108,215,87,NA,293,10,480,200,1006,508,NA,952,NA,NA,NA
5-Aug,Cathedral City,NA,NA,1006,85,139,1987,42,139,113,221,87,NA,290,13,478,194,979,512,NA,951,NA,NA,NA
5-Sep,Cathedral City,NA,NA,1062,85,131,2152,41,134,118,227,90,NA,325,14,488,193,1020,513,NA,953,NA,NA,NA
5-Oct,Cathedral City,NA,NA,1059,95,132,2334,40,133,124,228,93,NA,335,14,512,203,1039,543,NA,943,NA,NA,NA
5-Nov,Cathedral City,NA,NA,1112,98,141,2382,40,132,121,225,94,NA,355,19,501,220,1085,566,NA,944,NA,NA,NA
5-Dec,Cathedral City,NA,NA,1060,94,143,2485,43,141,121,230,123,NA,348,19,499,231,1097,595,NA,942,NA,NA,NA
5-Jan,Coachella,1681,NA,563,494,143,524,NA,NA,19,48,NA,NA,NA,NA,73,NA,257,147,NA,2151,NA,NA,NA
5-Feb,Coachella,1294,NA,581,501,145,541,NA,NA,21,50,NA,NA,NA,NA,76,NA,263,151,NA,2169,NA,NA,NA
5-Mar,Coachella,1993,NA,594,510,150,554,NA,NA,22,52,NA,NA,NA,NA,74,NA,264,152,NA,2189,NA,NA,NA
5-Apr,Coachella,2551,NA,573,507,150,664,NA,NA,28,54,NA,NA,NA,NA,78,NA,259,156,NA,2204,NA,NA,NA
5-May,Coachella,2701,NA,599,513,151,794,NA,NA,27,48,NA,NA,NA,NA,74,NA,251,153,NA,2191,NA,NA,NA
5-Jun,Coachella,3493,NA,617,507,152,783,NA,NA,27,51,NA,NA,NA,NA,76,NA,251,143,NA,2189,NA,NA,NA
5-Jul,Coachella,2759,NA,652,559,156,787,NA,NA,28,48,NA,NA,NA,NA,70,NA,256,148,NA,2173,NA,NA,NA
5-Aug,Coachella,984,NA,652,572,155,776,NA,NA,27,52,NA,NA,NA,NA,68,NA,261,151,NA,2197,NA,NA,NA
5-Sep,Coachella,1312,NA,686,582,161,770,NA,NA,28,50,NA,NA,NA,NA,77,NA,275,148,NA,2215,NA,NA,NA
5-Oct,Coachella,1567,NA,702,580,160,781,NA,NA,28,49,NA,NA,NA,NA,83,NA,298,137,NA,2216,NA,NA,NA
5-Nov,Coachella,1673,NA,712,590,160,831,NA,NA,27,47,NA,NA,NA,NA,79,NA,292,152,NA,2225,NA,NA,NA
5-Dec,Coachella,1987,NA,723,594,160,856,NA,NA,26,50,NA,NA,NA,NA,76,NA,281,142,NA,2243,NA,NA,NA
5-Jan,Desert Hot Springs,NA,NA,320,9,NA,439,30,NA,55,60,31,NA,127,NA,232,NA,493,105,NA,584,NA,NA,NA
5-Feb,Desert Hot Springs,NA,NA,373,9,NA,448,31,NA,57,61,23,NA,145,NA,246,NA,495,106,NA,586,NA,NA,NA
5-Mar,Desert Hot Springs,NA,NA,407,9,NA,460,32,NA,56,60,23,NA,161,NA,242,NA,505,107,NA,588,NA,NA,NA
5-Apr,Desert Hot Springs,NA,NA,427,5,NA,442,29,NA,57,62,24,NA,159,NA,249,NA,535,122,NA,562,NA,NA,NA
5-May,Desert Hot Springs,NA,NA,248,5,NA,435,29,NA,53,58,14,NA,171,NA,244,NA,611,125,NA,566,NA,NA,NA
5-Jun,Desert Hot Springs,NA,NA,289,5,NA,439,31,NA,54,57,14,NA,169,NA,255,NA,618,121,NA,566,NA,NA,NA
5-Jul,Desert Hot Springs,NA,NA,279,7,NA,463,31,NA,37,65,14,NA,122,NA,215,NA,577,123,NA,592,NA,NA,NA
5-Aug,Desert Hot Springs,NA,NA,265,7,NA,441,30,NA,39,60,13,NA,142,NA,207,NA,560,125,NA,594,NA,NA,NA
5-Sep,Desert Hot Springs,NA,NA,212,7,NA,454,32,NA,38,60,13,NA,120,NA,215,NA,567,139,NA,608,NA,NA,NA
5-Oct,Desert Hot Springs,NA,NA,261,4,NA,456,28,NA,47,59,12,NA,158,NA,225,NA,621,128,NA,643,NA,NA,NA
5-Nov,Desert Hot Springs,NA,NA,318,4,NA,464,26,NA,48,64,13,NA,130,NA,218,NA,624,133,NA,654,NA,NA,NA
5-Dec,Desert Hot Springs,NA,NA,317,4,NA,443,27,NA,46,66,12,NA,150,NA,220,NA,639,132,NA,649,NA,NA,NA
5-Jan,Indian Wells,NA,NA,23,NA,2,47,NA,NA,140,66,178,NA,310,NA,116,733,2233,124,NA,NA,NA,NA,NA
5-Feb,Indian Wells,NA,NA,23,NA,2,50,NA,NA,137,71,184,NA,297,NA,118,762,2300,123,NA,NA,NA,NA,NA
5-Mar,Indian Wells,NA,NA,24,NA,2,49,NA,NA,137,72,188,NA,295,NA,115,811,2358,123,NA,NA,NA,NA,NA
5-Apr,Indian Wells,NA,NA,30,NA,2,44,NA,NA,141,63,172,NA,297,NA,120,852,2333,126,NA,NA,NA,NA,NA
5-May,Indian Wells,NA,NA,35,NA,2,47,NA,NA,142,58,171,NA,293,NA,119,830,2296,125,NA,NA,NA,NA,NA
5-Jun,Indian Wells,NA,NA,34,NA,2,46,NA,NA,140,60,174,NA,233,NA,120,704,2397,118,NA,NA,NA,NA,NA
5-Jul,Indian Wells,NA,NA,34,NA,2,44,NA,NA,143,59,185,NA,231,NA,96,530,2185,112,NA,NA,NA,NA,NA
5-Aug,Indian Wells,NA,NA,32,NA,2,39,NA,NA,140,60,191,NA,228,NA,94,516,2188,113,NA,NA,NA,NA,NA
5-Sep,Indian Wells,NA,NA,40,NA,2,45,NA,NA,143,59,193,NA,236,NA,94,508,2259,112,NA,NA,NA,NA,NA
5-Oct,Indian Wells,NA,NA,39,NA,2,41,NA,NA,144,57,167,NA,243,NA,104,609,2443,124,NA,NA,NA,NA,NA
5-Nov,Indian Wells,NA,NA,36,NA,3,41,NA,NA,145,60,169,NA,275,NA,99,767,2492,132,NA,NA,NA,NA,NA
