,,,,,,,,,,
,,,,,,,,,,
,,Year,City,Industry,Qtr 1 Wages,Qtr 2 Wages,Qtr 3 Wages,Qtr 4 Wages,Total Annual Wages,Confidential
,,2005,Cathedral City,Utilities,*****,*****,*****,*****,*****,/1/
,,2005,Cathedral City,Construction,6512711,8727552,8528400,8993637,32762300,
,,2005,Cathedral City,Manufacturing,543785,725798,702315,788486,2760384,
,,2005,Cathedral City,Wholesale Trade,1192016,1861021,1200766,1336204,5590007,
,,2005,Cathedral City,Retail Trade,14979487,15158978,15764701,18061634,63964800,
,,2005,Cathedral City,Transportation and Warehousing,257697,294766,307506,407221,1267190,
,,2005,Cathedral City,Information,707841,701820,644527,712191,2766379,
,,2005,Cathedral City,Finance and Insurance,582769,520695,564101,598569,2266134,
,,2005,Cathedral City,Real Estate and Rental and Leasing,1258643,1305577,1436768,1577466,5578454,
,,2005,Cathedral City,"Professional, Scientific, and Technical Services",857481,935493,1018534,1161540,3973048,
,,2005,Cathedral City,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2005,Cathedral City,Administrative and Support and Waste Management and Remediation Services,2148587,1972858,1859235,1625260,7605940,
,,2005,Cathedral City,Educational Services,144102,129475,128176,151041,552794,
,,2005,Cathedral City,Health Care and Social Assistance,2367167,2463786,2268018,2563858,9662829,
,,2005,Cathedral City,"Arts, Entertainment, and Recreation",847757,952266,865589,891154,3556766,
,,2005,Cathedral City,Accommodation and Food Services,4356157,4451190,5135606,4657466,18600419,
,,2005,Cathedral City,Other Services (except Public Administration),3382329,3606433,3621055,3702871,14312688,
,,2005,Cathedral City,Local Government,15193561,12174111,10264103,10640109,48271884,
,,2005,Coachella,"Agriculture, Forestry, Fishing and Hunting",5919551,9661645,7824859,8142168,31548223,
,,2005,Coachella,Construction,8078200,6325319,7716978,9034478,31154975,
,,2005,Coachella,Manufacturing,4744520,6071004,5395532,7258642,23469698,
,,2005,Coachella,Wholesale Trade,1665977,1251038,2492160,1607335,7016510,
,,2005,Coachella,Retail Trade,3477581,4151197,4546190,4357128,16532096,
,,2005,Coachella,Transportation and Warehousing,*****,*****,*****,*****,*****,/1/
,,2005,Coachella,Information,*****,*****,*****,*****,*****,/1/
,,2005,Coachella,Finance and Insurance,146042,187166,196899,153954,684061,
,,2005,Coachella,Real Estate and Rental and Leasing,276567,292744,261496,351768,1182575,
,,2005,Coachella,"Professional, Scientific, and Technical Services",*****,*****,*****,*****,*****,/1/
,,2005,Coachella,Management of Companies and Enterprises,*****,*****,*****,*****,*****,/1/
,,2005,Coachella,Administrative and Support and Waste Management and Remediation Services,*****,*****,*****,*****,*****,/1/
,,2005,Coachella,Health Care and Social Assistance,290337,340027,293374,352741,1276479,
,,2005,Coachella,Accommodation and Food Services,912844,889381,955451,1146777,3904453,
,,2005,Coachella,Other Services (except Public Administration),478484,486496,474244,509792,1949016,
,,2005,Coachella,Local Government,24017110,23528415,20711594,22341031,90598150,
,,2005,Coachella,Not Elsewhere Classified,*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,"Mining, Quarrying, and Oil and Gas Extraction",*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,Utilities,*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,Construction,1926367,1966127,1634893,1937111,7464498,
,,2005,Desert Hot Spr,Manufacturing,58504,39062,45503,47326,190395,
,,2005,Desert Hot Spr,Wholesale Trade,*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,Retail Trade,2560929,2700943,2814795,2754937,10831604,
,,2005,Desert Hot Spr,Transportation and Warehousing,165947,166759,172139,186966,691811,
,,2005,Desert Hot Spr,Information,*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,Finance and Insurance,371520,371614,238771,286600,1268505,
,,2005,Desert Hot Spr,Real Estate and Rental and Leasing,216663,225584,791789,303930,1537966,
,,2005,Desert Hot Spr,"Professional, Scientific, and Technical Services",110869,125567,83930,56732,377098,
,,2005,Desert Hot Spr,Administrative and Support and Waste Management and Remediation Services,583068,742220,663045,722494,2710827,
,,2005,Desert Hot Spr,Health Care and Social Assistance,1441309,1555254,1526226,1525573,6048362,
,,2005,Desert Hot Spr,"Arts, Entertainment, and Recreation",*****,*****,*****,*****,*****,/1/
,,2005,Desert Hot Spr,Accommodation and Food Services,1622495,1999790,2097842,2569229,8289356,
,,2005,Desert Hot Spr,Other Services (except Public Administration),387664,447195,439889,488104,1762852,
,,2005,Desert Hot Spr,Local Government,8761923,7235086,5306101,6457821,27760931,
,,2005,Desert Hot Spr,Not Elsewhere Classified,*****,*****,*****,*****,*****,/1/
,,2005,Indian Wells,Construction,216678,393188,389276,564289,1563431,
,,2005,Indian Wells,Manufacturing,*****,*****,*****,*****,*****,/1/
,,2005,Indian Wells,Wholesale Trade,32333,32327,41584,101925,208169,
,,2005,Indian Wells,Retail Trade,313484,184013,193835,202982,894314,
,,2005,Indian Wells,Information,*****,*****,*****,*****,*****,/1/
,,2005,Indian Wells,Finance and Insurance,4798417,3300738,4254662,4238012,16591829,
