CalendarYear,Quarter,QuarterMonthFrom,QuarterMonthTo,County,City,RetailandFoodServicesTaxableTransactions,TotalAllOutletsTaxableTransactions,PerCapita
2010,A,1,12,Alameda,Alameda,374483000,543168000,7356.51
2010,A,1,12,Alameda,ALAMEDA COUNTY,13374283000,21541741000,14273.23
2010,A,1,12,Alameda,Albany,160312000,191439000,10323.5
2010,A,1,12,Alameda,Berkeley,970121000,1270060000,11277.29
2010,A,1,12,Alameda,Dublin,932814000,1121559000,24556.81
2010,A,1,12,Alameda,Emeryville,495967000,640093000,65209.14
2010,A,1,12,Alameda,Fremont,1822853000,2596245000,12151.34
2010,A,1,12,Alameda,Hayward,1308073000,2213002000,15384.73
2010,A,1,12,Alameda,Livermore,854906000,1630560000,20154.0
2010,A,1,12,Alameda,Newark,614274000,752166000,17661.03
2010,A,1,12,Alameda,Oakland,2246454000,3310325000,8471.56
2010,A,1,12,Alameda,Piedmont,10731000,11922000,1117.23
2010,A,1,12,Alameda,Pleasanton,1144898000,1652586000,23539.76
2010,A,1,12,Alameda,San Leandro,1110136000,1633900000,19227.55
2010,A,1,12,Alameda,Union City,410532000,731806000,10523.67
2010,A,1,12,Alpine,ALPINE COUNTY,6410000,22658000,19234.29
2010,A,1,12,Amador,Amador,0,758000,4097.29
2010,A,1,12,Amador,AMADOR COUNTY,259998000,353874000,9309.77
2010,A,1,12,Amador,Ione,6723000,13674000,1734.61
2010,A,1,12,Amador,Jackson,48598000,56272000,12114.53
2010,A,1,12,Amador,Plymouth,8957000,11309000,11263.94
2010,A,1,12,Amador,Sutter Creek,14719000,16849000,6747.69
2010,A,1,12,Butte,Biggs,1291000,1394000,815.68
2010,A,1,12,Butte,BUTTE COUNTY,1773107000,2459719000,11182.21
2010,A,1,12,Butte,Chico,1167418000,1429638000,16603.81
2010,A,1,12,Butte,Gridley,68942000,81660000,12387.74
2010,A,1,12,Butte,Oroville,246847000,288191000,18517.7
2010,A,1,12,Butte,Paradise,128477000,140991000,5383.18
2010,A,1,12,Calaveras,Angels Camp,48811000,53770000,14002.6
2010,A,1,12,Calaveras,CALAVERAS COUNTY,177340000,270553000,5932.91
2010,A,1,12,Colusa,Colusa,63441000,96610000,16201.57
2010,A,1,12,Colusa,COLUSA COUNTY,140961000,342929000,16039.71
2010,A,1,12,Colusa,Williams,44205000,48862000,9550.82
2010,A,1,12,Contra Costa,Antioch,723459000,806543000,7889.49
2010,A,1,12,Contra Costa,Brentwood,412174000,471047000,9165.4
2010,A,1,12,Contra Costa,Clayton,27190000,31319000,2875.14
2010,A,1,12,Contra Costa,Concord,1704604000,2033629000,16667.86
2010,A,1,12,Contra Costa,CONTRA COSTA COUNTY,8716393000,11953846000,11406.9
2010,A,1,12,Contra Costa,Danville,361587000,394783000,9399.14
2010,A,1,12,Contra Costa,El Cerrito,229600000,246574000,10475.57
2010,A,1,12,Contra Costa,Hercules,76796000,114753000,4771.23
2010,A,1,12,Contra Costa,Lafayette,168281000,203198000,8511.98
2010,A,1,12,Contra Costa,Martinez,238421000,407237000,11372.15
2010,A,1,12,Contra Costa,Moraga,72537000,78752000,4918.92
2010,A,1,12,Contra Costa,Oakley,92756000,124283000,3517.87
2010,A,1,12,Contra Costa,Orinda,65502000,76778000,4354.22
2010,A,1,12,Contra Costa,Pinole,248462000,259846000,14135.12
2010,A,1,12,Contra Costa,Pittsburg,398371000,514129000,8148.36
2010,A,1,12,Contra Costa,Pleasant Hill,479317000,559680000,16888.86
2010,A,1,12,Contra Costa,Richmond,855228000,1069512000,10317.39
2010,A,1,12,Contra Costa,San Pablo,125325000,142225000,4880.24
2010,A,1,12,Contra Costa,San Ramon,481381000,663164000,9217.39
2010,A,1,12,Contra Costa,Walnut Creek,1271526000,1508815000,23523.77
2010,A,1,12,Del Norte,Crescent City,74243000,91097000,11912.77
2010,A,1,12,Del Norte,DEL NORTE COUNTY,146562000,204311000,7148.49
2010,A,1,12,El Dorado,EL DORADO COUNTY,1119482000,1561471000,8642.09
2010,A,1,12,El Dorado,Placerville,203092000,246875000,23804.35
2010,A,1,12,El Dorado,South Lake Tahoe,241967000,291072000,13635.9
2010,A,1,12,Fresno,Clovis,1075224000,1201964000,12588.64
2010,A,1,12,Fresno,Coalinga,54892000,72265000,3965.15
2010,A,1,12,Fresno,Firebaugh,24136000,66491000,8879.67
2010,A,1,12,Fresno,Fowler,46768000,88667000,15955.91
2010,A,1,12,Fresno,Fresno,4478073000,5738383000,11611.88
2010,A,1,12,Fresno,FRESNO COUNTY,6973970000,10154265000,10921.4
2010,A,1,12,Fresno,Huron,10044000,12156000,1799.02
2010,A,1,12,Fresno,Kerman,73451000,92070000,6803.36
2010,A,1,12,Fresno,Kingsburg,58565000,79663000,6997.8
2010,A,1,12,Fresno,Mendota,26377000,47659000,4325.16
2010,A,1,12,Fresno,Orange Cove,11369000,13627000,1501.76
2010,A,1,12,Fresno,Parlier,24239000,27968000,1928.69
2010,A,1,12,Fresno,Reedley,99208000,127153000,5277.37
2010,A,1,12,Fresno,San Joaquin,6116000,20731000,5167.24
2010,A,1,12,Fresno,Sanger,125301000,143664000,5920.87
2010,A,1,12,Fresno,Selma,244413000,281741000,12128.84
2010,A,1,12,Glenn,GLENN COUNTY,150133000,277683000,9874.92
2010,A,1,12,Glenn,Orland,59910000,68105000,9346.09
2010,A,1,12,Glenn,Willows,71457000,94462000,15322.3
2010,A,1,12,Humboldt,Arcata,133621000,177820000,10341.37
2010,A,1,12,Humboldt,Blue Lake,564000,1330000,1064.85
2010,A,1,12,Humboldt,Eureka,618396000,745036000,27442.48
2010,A,1,12,Humboldt,Ferndale,9832000,11532000,8423.66
2010,A,1,12,Humboldt,Fortuna,96410000,124011000,10414.09
2010,A,1,12,Humboldt,HUMBOLDT COUNTY,1177739000,1704007000,12683.05
2010,A,1,12,Humboldt,Rio Dell,9076000,12650000,3763.76
2010,A,1,12,Humboldt,Trinidad,8302000,8354000,22825.13
2010,A,1,12,Imperial,Brawley,107311000,166976000,6719.62
2010,A,1,12,Imperial,Calexico,307762000,323116000,8401.13
2010,A,1,12,Imperial,Calipatria,6636000,7311000,933.35
2010,A,1,12,Imperial,El Centro,695377000,821102000,19329.14
2010,A,1,12,Imperial,Holtville,12735000,30277000,5112.63
2010,A,1,12,Imperial,Imperial,79286000,123543000,8395.71
2010,A,1,12,Imperial,IMPERIAL COUNTY,1317759000,1970332000,11307.89
2010,A,1,12,Imperial,Westmorland,0,13175000,5929.34
2010,A,1,12,Inyo,Bishop,133697000,162804000,42046.48
2010,A,1,12,Inyo,INYO COUNTY,214047000,306049000,16520.86
2010,A,1,12,Kern,Arvin,28512000,54550000,2819.85
2010,A,1,12,Kern,Bakersfield,3644874000,4667745000,13450.59
2010,A,1,12,Kern,California City,24173000,25342000,1788.93
2010,A,1,12,Kern,Delano,225840000,298056000,5610.14
2010,A,1,12,Kern,KERN COUNTY,6379778000,11057910000,13210.19
2010,A,1,12,Kern,Maricopa,0,2483000,2146.06
2010,A,1,12,Kern,Mc Farland,16901000,21457000,1678.55
2010,A,1,12,Kern,Ridgecrest,216244000,239821000,8708.09
2010,A,1,12,Kern,Shafter,302045000,621985000,36719.1
2010,A,1,12,Kern,Taft,77665000,135072000,14511.38
2010,A,1,12,Kern,Tehachapi,126053000,135051000,9311.93
2010,A,1,12,Kern,Wasco,77589000,93521000,3657.87
2010,A,1,12,Kings,Avenal,14979000,17966000,1138.89
2010,A,1,12,Kings,Corcoran,37682000,79706000,3209.55
2010,A,1,12,Kings,Hanford,552307000,641474000,12008.12
2010,A,1,12,Kings,KINGS COUNTY,817260000,1188331000,7781.26
2010,A,1,12,Kings,Lemoore,95790000,137092000,5645.82
2010,A,1,12,Lake,Clearlake,106273000,111458000,7319.28
2010,A,1,12,Lake,LAKE COUNTY,334679000,464277000,7189.17
2010,A,1,12,Lake,Lakeport,91619000,103571000,21818.2
2010,A,1,12,Lassen,LASSEN COUNTY,149827000,219489000,6308.24
2010,A,1,12,Lassen,Susanville,107687000,116761000,6488.52
2010,A,1,12,Los Angeles,Agoura Hills,225254000,270243000,13284.97
2010,A,1,12,Los Angeles,Alhambra,932504000,1045618000,12576.89
2010,A,1,12,Los Angeles,Arcadia,680048000,761867000,13507.08
2010,A,1,12,Los Angeles,Artesia,136852000,157543000,9539.96
2010,A,1,12,Los Angeles,Avalon,50880000,55742000,14940.23
2010,A,1,12,Los Angeles,Azusa,291830000,370283000,7981.78
2010,A,1,12,Los Angeles,Baldwin Park,377241000,481299000,6380.14
2010,A,1,12,Los Angeles,Bell,116747000,159123000,4481.95
2010,A,1,12,Los Angeles,Bell Gardens,168271000,187316000,4448.99
2010,A,1,12,Los Angeles,Bellflower,315663000,374737000,4888.49
2010,A,1,12,Los Angeles,Beverly Hills,1613133000,1951465000,57174.05
2010,A,1,12,Los Angeles,Bradbury,148000,189000,181.03
2010,A,1,12,Los Angeles,Burbank,1931854000,2529221000,24461.49
2010,A,1,12,Los Angeles,Calabasas,294352000,513682000,22264.3
2010,A,1,12,Los Angeles,Carson,1008859000,1471240000,16029.89
2010,A,1,12,Los Angeles,Cerritos,1482807000,1785751000,36386.71
2010,A,1,12,Los Angeles,Claremont,205294000,233141000,6671.46
2010,A,1,12,Los Angeles,Commerce,514964000,1156289000,90109.8
2010,A,1,12,Los Angeles,Compton,380417000,539865000,5592.94
2010,A,1,12,Los Angeles,Covina,522388000,580967000,12146.24
2010,A,1,12,Los Angeles,Cudahy,55524000,91914000,3858.2
2010,A,1,12,Los Angeles,Culver City,1189779000,1419154000,36471.79
2010,A,1,12,Los Angeles,Diamond Bar,234320000,286359000,5151.73
2010,A,1,12,Los Angeles,Downey,977927000,1138182000,10175.96
2010,A,1,12,Los Angeles,Duarte,350473000,385511000,18071.11
2010,A,1,12,Los Angeles,El Monte,888269000,1049984000,9246.88
2010,A,1,12,Los Angeles,El Segundo,425708000,1003288000,60206.91
2010,A,1,12,Los Angeles,Gardena,491618000,653665000,11103.15
2010,A,1,12,Los Angeles,Glendale,1894077000,2351761000,12260.05
2010,A,1,12,Los Angeles,Glendora,510667000,567683000,11328.96
2010,A,1,12,Los Angeles,Hawaiian Gardens,49359000,56515000,3962.07
2010,A,1,12,Los Angeles,Hawthorne,837225000,942011000,11169.87
2010,A,1,12,Los Angeles,Hermosa Beach,178352000,193233000,9904.3
2010,A,1,12,Los Angeles,Hidden Hills,440000,954000,513.73
2010,A,1,12,Los Angeles,Huntington Park,391114000,475060000,8168.57
2010,A,1,12,Los Angeles,Industry,1215176000,2433996000,5070825.0
2010,A,1,12,Los Angeles,Inglewood,695685000,899007000,8191.18
2010,A,1,12,Los Angeles,Irwindale,122819000,355446000,249786.36
2010,A,1,12,Los Angeles,La Canada-Flintridge,162965000,183352000,9049.5
2010,A,1,12,Los Angeles,La Habra Heights,501000,2740000,514.16
2010,A,1,12,Los Angeles,La Mirada,541255000,756137000,15570.86
2010,A,1,12,Los Angeles,La Puente,183035000,199517000,5007.32
2010,A,1,12,Los Angeles,La Verne,241192000,314959000,10132.18
2010,A,1,12,Los Angeles,Lakewood,936619000,981977000,12258.31
2010,A,1,12,Los Angeles,Lancaster,998547000,1314095000,8393.76
2010,A,1,12,Los Angeles,Lawndale,177823000,204595000,6238.98
